name,neighbor
Aflitos,Rosarinho
Aflitos,Encruzilhada
Aflitos,Espinheiro
Aflitos,Graças
Jaqueira,Tamarineira
Jaqueira,Graças
Jaqueira,Torre
Jaqueira,Santana
Jaqueira,Parnamirim
Hipódromo,Ponto de Parada
Hipódromo,Encruzilhada
Hipódromo,Campo Grande
Ponto de Parada,Hipódromo
Ponto de Parada,Rosarinho
Ponto de Parada,Encruzilhada
Ponto de Parada,Arruda
Ponto de Parada,Campo Grande
Rosarinho,Aflitos
Rosarinho,Ponto de Parada
Rosarinho,Tamarineira
Rosarinho,Encruzilhada
Rosarinho,Graças
Rosarinho,Arruda
Tamarineira,Jaqueira
Tamarineira,Rosarinho
Tamarineira,Graças
Tamarineira,Arruda
Tamarineira,Casa Amarela
Tamarineira,Parnamirim
Tamarineira,Mangabeira
Encruzilhada,Aflitos
Encruzilhada,Hipódromo
Encruzilhada,Ponto de Parada
Encruzilhada,Rosarinho
Encruzilhada,Espinheiro
Encruzilhada,Graças
Encruzilhada,Torreão
Encruzilhada,Campo Grande
Espinheiro,Aflitos
Espinheiro,Encruzilhada
Espinheiro,Graças
Espinheiro,Torreão
Espinheiro,Santo Amaro
Espinheiro,Boa Vista
Graças,Aflitos
Graças,Jaqueira
Graças,Rosarinho
Graças,Tamarineira
Graças,Encruzilhada
Graças,Espinheiro
Graças,Boa Vista
Graças,Derby
Graças,Madalena
Graças,Torre
Torreão,Encruzilhada
Torreão,Espinheiro
Torreão,Santo Amaro
Torreão,Campo Grande
Joana Bezerra,Coelhos
Joana Bezerra,Ilha do Leite
Joana Bezerra,Paissandu
Joana Bezerra,Afogados
Joana Bezerra,Ilha do Retiro
Bairro do Recife,Santo Amaro
Bairro do Recife,Santo Antônio
Bairro do Recife,Campo Grande
Santo Amaro,Espinheiro
Santo Amaro,Torreão
Santo Amaro,Bairro do Recife
Santo Amaro,Boa Vista
Santo Amaro,Santo Antônio
Santo Amaro,Soledade
Santo Amaro,Campo Grande
Boa Vista,Espinheiro
Boa Vista,Graças
Boa Vista,Santo Amaro
Boa Vista,Coelhos
Boa Vista,Derby
Boa Vista,Ilha do Leite
Boa Vista,Paissandu
Boa Vista,Santo Antônio
Boa Vista,Soledade
Coelhos,Joana Bezerra
Coelhos,Boa Vista
Coelhos,Ilha do Leite
Coelhos,Santo Antônio
Derby,Graças
Derby,Boa Vista
Derby,Paissandu
Derby,Ilha do Retiro
Derby,Madalena
Ilha do Leite,Joana Bezerra
Ilha do Leite,Boa Vista
Ilha do Leite,Coelhos
Ilha do Leite,Paissandu
Paissandu,Joana Bezerra
Paissandu,Boa Vista
Paissandu,Derby
Paissandu,Ilha do Leite
Paissandu,Ilha do Retiro
Paissandu,Madalena
Santo Antônio,Bairro do Recife
Santo Antônio,Santo Amaro
Santo Antônio,Boa Vista
Santo Antônio,Coelhos
Soledade,Santo Amaro
Soledade,Boa Vista
Afogados,Joana Bezerra
Afogados,Bongi
Afogados,Ilha do Retiro
Afogados,Mangueira
Afogados,Mustardinha
Afogados,Prado
Afogados,Pina
Afogados,Imbiribeira
Afogados,Jiquiá
Bongi,Afogados
Bongi,Mustardinha
Bongi,Prado
Bongi,San Martin
Brasília Teimosa,Pina
Ilha do Retiro,Joana Bezerra
Ilha do Retiro,Derby
Ilha do Retiro,Paissandu
Ilha do Retiro,Afogados
Ilha do Retiro,Prado
Ilha do Retiro,Madalena
Mangueira,Afogados
Mangueira,Mustardinha
Mangueira,Jiquiá
Mangueira,San Martin
Mustardinha,Afogados
Mustardinha,Bongi
Mustardinha,Mangueira
Mustardinha,San Martin
Prado,Afogados
Prado,Bongi
Prado,Ilha do Retiro
Prado,San Martin
Prado,Cordeiro
Prado,Madalena
Prado,Zumbi
Boa Viagem,Jordão
Boa Viagem,Pina
Boa Viagem,Ibura
Boa Viagem,Imbiribeira
Cohab,Jordão
Cohab,Barro
Cohab,Ibura
Jordão,Boa Viagem
Jordão,Cohab
Jordão,Ibura
Pina,Afogados
Pina,Brasília Teimosa
Pina,Boa Viagem
Pina,Imbiribeira
Barro,Cohab
Barro,Tejipió
Barro,Areias
Barro,Ibura
Barro,Jardim São Paulo
Coqueiral,Sancho
Coqueiral,Tejipió
Coqueiral,Totó
Sancho,Coqueiral
Sancho,Tejipió
Sancho,Totó
Sancho,Curado
Tejipió,Barro
Tejipió,Coqueiral
Tejipió,Sancho
Tejipió,Jardim São Paulo
Tejipió,Curado
Totó,Coqueiral
Totó,Sancho
Totó,Curado
Caçote,Areias
Caçote,Ibura
Caçote,Ipsep
Areias,Barro
Areias,Caçote
Areias,Ibura
Areias,Imbiribeira
Areias,Ipsep
Areias,Estância
Areias,Jardim São Paulo
Areias,Jiquiá
Ibura,Boa Viagem
Ibura,Cohab
Ibura,Jordão
Ibura,Barro
Ibura,Caçote
Ibura,Areias
Ibura,Imbiribeira
Ibura,Ipsep
Imbiribeira,Afogados
Imbiribeira,Boa Viagem
Imbiribeira,Pina
Imbiribeira,Areias
Imbiribeira,Ibura
Imbiribeira,Ipsep
Imbiribeira,Jiquiá
Ipsep,Caçote
Ipsep,Areias
Ipsep,Ibura
Ipsep,Imbiribeira
Estância,Areias
Estância,Jardim São Paulo
Estância,Jiquiá
Estância,San Martin
Jardim São Paulo,Barro
Jardim São Paulo,Tejipió
Jardim São Paulo,Areias
Jardim São Paulo,Estância
Jardim São Paulo,Jiquiá
Jardim São Paulo,San Martin
Jardim São Paulo,Curado
Jiquiá,Afogados
Jiquiá,Mangueira
Jiquiá,Areias
Jiquiá,Imbiribeira
Jiquiá,Estância
Jiquiá,Jardim São Paulo
Jiquiá,San Martin
San Martin,Bongi
San Martin,Mangueira
San Martin,Mustardinha
San Martin,Prado
San Martin,Estância
San Martin,Jardim São Paulo
San Martin,Jiquiá
San Martin,Curado
San Martin,Torrões
San Martin,Cordeiro
Curado,Sancho
Curado,Tejipió
Curado,Totó
Curado,Jardim São Paulo
Curado,San Martin
Curado,Cidade Universitária
Curado,Engenho do Meio
Curado,Torrões
Curado,Várzea
Cidade Universitária,Curado
Cidade Universitária,Engenho do Meio
Cidade Universitária,Várzea
Cidade Universitária,Iputinga
Engenho do Meio,Curado
Engenho do Meio,Cidade Universitária
Engenho do Meio,Torrões
Engenho do Meio,Cordeiro
Engenho do Meio,Iputinga
Torrões,San Martin
Torrões,Curado
Torrões,Engenho do Meio
Torrões,Cordeiro
Caxangá,Várzea
Caxangá,Iputinga
Caxangá,Apipucos
Caxangá,Dois Irmãos
Caxangá,Sítio dos Pintos
Várzea,Curado
Várzea,Cidade Universitária
Várzea,Caxangá
Várzea,Iputinga
Arruda,Ponto de Parada
